,passive_id,num_attempts,total_penalty_payout
0,41,1,0
1,58,3,-4
2,83,1,0
3,66,3,-4
4,50,1,0
5,9,1,0
6,23,5,-8
7,29,3,-4
8,64,8,-14
9,24,2,-2
10,32,17,-32
11,47,2,-2
12,60,6,-10
13,89,9,-16
14,76,6,-10
15,52,1,0
16,36,5,-8
17,46,4,-6
18,29,12,-22
19,0,1,0
20,65,2,-2
21,28,5,-8
22,27,10,-18
23,69,7,-12
24,31,2,-2
25,54,1,0
26,0,25,-48
27,16,2,-2
28,66,3,-4
29,49,1,0
30,45,1,0
31,53,3,-4
32,24,2,-2
33,12,1,0
34,13,1,0
35,3,2,-2
36,45,8,-14
37,20,1,0
38,25,2,-2
39,53,15,-28
40,14,2,-2
41,98,4,-6
42,43,4,-6
43,73,2,-2
44,44,1,0
45,10,3,-4
46,92,2,-2
47,23,4,-6
48,47,5,-8
49,24,1,0
50,54,6,-10
51,43,1,0
52,24,3,-4
53,13,2,-2
54,49,5,-8
55,77,3,-4
56,88,2,-2
57,97,4,-6
58,19,5,-8
59,92,2,-2
60,37,6,-10
61,11,8,-14
62,70,4,-6
63,22,6,-10
64,39,2,-2
65,42,3,-4
66,16,2,-2
67,57,3,-4
68,0,1,0
69,93,3,-4
70,67,18,-34
71,26,4,-6
72,76,4,-6
73,86,11,-20
74,52,4,-6
75,43,2,-2
76,85,10,-18
77,83,3,-4
78,35,2,-2
79,14,4,-6
80,39,4,-6
81,45,1,0
82,92,18,-34
83,86,4,-6
84,94,4,-6
85,43,5,-8
86,28,20,-38
87,5,4,-6
88,64,23,-44
89,84,2,-2
90,17,2,-2
91,82,1,0
92,63,1,0
93,3,2,-2
94,24,1,0
95,24,4,-6
96,48,5,-8
97,81,24,-46
98,24,19,-36
99,10,1,0
100,52,4,-6
101,58,3,-4
102,72,7,-12
103,43,5,-8
104,60,16,-30
105,27,5,-8
106,33,2,-2
107,77,3,-4
108,72,1,0
109,58,2,-2
110,75,2,-2
111,31,3,-4
112,1,1,0
113,80,1,0
114,41,2,-2
115,0,1,0
116,75,13,-24
117,59,3,-4
118,20,2,-2
119,66,3,-4
120,57,4,-6
121,3,2,-2
122,8,2,-2
123,97,2,-2
124,78,6,-10
125,57,6,-10
126,73,1,0
127,55,1,0
128,0,2,-2
129,20,4,-6
130,27,3,-4
131,12,10,-18
132,42,24,-46
133,11,1,0
134,45,3,-4
135,58,2,-2
136,93,3,-4
137,10,2,-2
138,61,1,0
139,94,4,-6
140,27,1,0
141,84,8,-14
142,41,1,0
143,91,3,-4
144,99,3,-4
145,2,1,0
146,35,1,0
147,5,6,-10
148,84,2,-2
149,28,3,-4
150,43,3,-4
151,15,15,-28
152,64,6,-10
153,7,7,-12
154,77,1,0
155,78,6,-10
156,22,3,-4
157,69,2,-2
158,7,19,-36
159,95,9,-16
160,49,1,0
161,87,1,0
162,33,2,-2
163,66,4,-6
164,39,2,-2
165,13,5,-8
166,36,15,-28
167,3,4,-6
168,34,2,-2
169,83,6,-10
170,43,5,-8
171,63,16,-30
172,94,5,-8
173,84,9,-16
174,67,1,0
175,75,5,-8
176,93,14,-26
177,39,3,-4
178,94,5,-8
179,19,10,-18
180,22,7,-12
181,61,4,-6
182,40,3,-4
183,16,1,0
184,27,5,-8
185,52,10,-18
186,70,3,-4
187,44,1,0
188,36,13,-24
189,10,7,-12
190,42,2,-2
191,70,15,-28
192,83,4,-6
193,74,1,0
194,27,23,-44
195,39,2,-2
196,52,6,-10
197,68,6,-10
198,74,2,-2
199,28,3,-4
